"SQL注射漏洞","SQL Injection"
"xss跨站脚本攻击","XSS"
"设计缺陷/逻辑错误","Design Flaws/Logic Errors"
"命令执行","Remote Code Execution"
"未授权访问/权限绕过","Unauthorized Access/Privilege Escalation"
"敏感信息泄露","Sensitive Information Leakage"
"系统/服务运维配置不当","System/Service Misconfiguration"
"后台弱口令","Weak Password of Infrastructure"
"文件上传导致任意代码执行","File Upload"
"成功的入侵事件","Successful Intrusion"
"重要敏感信息泄露","Sensitive Information Leakage"
"任意文件遍历/下载","Path Traversal"
"CSRF","CSRF"
"设计错误/逻辑缺陷","Design Flaws/Logic Errors"
"应用配置错误","Application Misconfiguration"
"系统/服务补丁不及时","Unpatched System/Service"
"账户体系控制不严","Weak Access Control"
"非授权访问/认证绕过","Authentication Bypass"
"网络设计缺陷/逻辑错误","Design Flaws/Logic Errors"
"服务弱口令","Weak Password of Service"
"用户资料大量泄漏","User Information Leakage"
"URL跳转","URL Redirect"
"远程代码执行","Code Execution"
"网络敏感信息泄漏","Sensitive Information Leakage"
"用户敏感数据泄漏","User Information Leakage"
"钓鱼欺诈信息","Phishing"
"拒绝服务","Denial of Service"
"默认配置不当","System/Service Misconfiguration"
"基础设施弱口令","Weak Password of Infrastructure"
"内部绝密信息泄漏","Sensitive Information Leakage"
"非授权访问/权限绕过","Unauthorized Access/Privilege Escalation"
"恶意信息传播","Malicious Content"
"文件包含","File Inclusion"
"内容安全","Sensitive Information Leakage"
"设计不当","Design Flaws/Logic Errors"
"网络未授权访问","Unauthorized Access/Privilege Escalation"
"权限控制绕过","Unauthorized Access/Privilege Escalation"
"权限提升","Unauthorized Access/Privilege Escalation"
"地下0day/成功的入侵事件","Successful Intrusion"
"重要资料/文档外泄","Sensitive Information Leakage"
"非授权访问","Unauthorized Access/Privilege Escalation"
"设计缺陷","Design Flaws/Logic Errors"
