Name,URL,Global Alexa,Country,Bussiness Type,Service Tags,Discussion
Coin.Space,coin.space,3277257,Switzerland,b2c,"bitcoin,payment",
Shopify,www.shopify.com,564,USA,b2b,"ecommerce,site builder,pos",What other tags can we appy? Shopify is similar to Square.
Snapchat,www.snapchat.com,7758,USA,b2c,"communication,social network",The attack surface is mostly mobile. Do we need to consider this?
leetfile,leetfil.es,3732906,USA,b2c,content sharing,
Ubiquiti Networks,www.ubnt.com,12356,USA,product vendor,telecommunication,
Whisper,whisper.sh,50006,USA,b2c,"communication,social network",
GhostMail,www.ghostmail.com,987750,Britain,b2c,communication,
Adobe,www.adobe.com,87,USA,,Software,
Airbnb,www.airbnb.com,556,USA,,E-Commerce,
Mobile Vikings,vikingco.com,262404,Belgium,,Communication,
Romit,wallet.romit.io,1906265,Turkey,,BitCoin,
Trello,trello.com,336,USA,,Collaboration,
itBit Exchange,www.itbit.com,400146,USA,,BitCoin,
Dropbox,www.dropbox.com,81,USA,,Content Sharing,
Vimeo,vimeo.com,159,USA,,Content Sharing,
Informatica,www.informatica.com,28342,USA,,Cloud,
Revert,revert.io,447143,USA,,Cloud,
Openfolio,openfolio.com,187830,USA,,Social Networking,
QIWI,qiwi.com,3079,Russia,,Payment,
Block.io,block.io,104710,Ukraine,,BitCoin,
Eobot,www.eobot.com,10008,Russia,,BitCoin,
WordPoints,wordpoints.org,5487354,Unknown,,Software,
GlassWire,www.glasswire.com,259357,USA,,Security,
Greenhouse.io,greenhouse.io,6807,USA,,HR,
Sucuri,sucuri.net,5405,USA,,Security,
DigitalSellz,www.digitalsellz.com,978494,USA,,Content Sharing,
ExpressionEngine,ellislab.com,7841,USA,,Software,
Square,squareup.com,2750,USA,,Business,
Envoy,signwithenvoy.com,193138,USA,,HR,
jsDelivr,www.jsdelivr.com,147214,Unknown,,Software,
Coin.co,coin.co,1332230,USA,,BitCoin,
FanFootage,fanfootage.com,3364988,USA,,Content Sharing,
WePay,www.wepay.com,29696,USA,,Business,
Mavenlink,www.mavenlink.com,15005,USA,,Business,
Twitter,twitter.com,8,USA,,Social Networking,
Factlink,staging.factlink.com,9741870,The Netherlands,,Social Networking,
Urban Dictionary,www.urbandictionary.com,512,USA,,Knowledge,
Kadira,kadira.io,182244,USA,,Software,
Hubdia,hubdia.com,14631040,Unknown,,Knowledge,
Meteor,www.meteor.com,11282,USA,,Software,
99designs,99designs.com,2519,USA,,E-Commerce,
Detectify,detectify.com,341195,Sweden,,Security,
StopTheHacker,www.stopthehacker.com,149121,USA,,Security,
CloudFlare,www.cloudflare.com,1338,USA,,Security,
Mail.Ru,mail.ru,51,Russia,,Communication,
Localize,www.localize.im,4911569,Germany,,Software,
Automattic,automattic.com,21704,USA,,Software,
IRCCloud,www.irccloud.com,62448,USA,,Communication,
Khan Academy,www.khanacademy.org,1662,USA,,Content Sharing,
respondly,respond.ly,252410,USA,,Business,
C2FO,c2fo.com,305451,USA,,Business,
Coinbase,www.coinbase.com,5829,USA,,BitCoin,
concrete5,www.concrete5.org,20507,USA,,Software,
MoneyStream,moneystream.com,230765,USA,,Finance,
OkCupid,www.okcupid.com,450,USA,,Social Networking,
Slack,slack.com,551,USA,,Communication,
RelateIQ,www.relateiq.com,20831,USA,,Business,
InVision,www.invisionapp.com,2780,USA,,Collaboration,
Yahoo!,www.yahoo.com,5,USA,,Portal,
Phabricator,phabricator.org,165272,USA,,Software,
HackerOne,hackerone.com,41475,USA,,Security,
